item_slider href,product_image src,product_image src 2,p_sale,p_old_price,p_sale 2,p_name,product_color src,product_color src 2,txl,inline href,ReviewRating
https://www.forever21.com/ca/shop/catalog/product/f21/sale/2000214704,https://www.forever21.com/images/4_full_330/00214704-04.jpg,https://www.forever21.com/images/default_330/00214704-04.jpg,$13.99 ,20.90,34% OFF,Boxy Cotton Tee,https://www.forever21.com/images/sw_22/00214704-04.jpg,https://www.forever21.com/images/sw_22/00214704-03.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/sale/2000214704,-6
https://www.forever21.com/ca/shop/catalog/product/f21/sale/2000292833,https://www.forever21.com/images/5_detail_330/00292833-02.jpg,https://www.forever21.com/images/default_330/00292833-02.jpg,$16.99 ,24.90,32% OFF,Camo Denim Mini Skirt,https://www.forever21.com/images/sw_22/00292833-02.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/sale/2000292833,-5
https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000193809,https://www.forever21.com/images/5_detail_330/00193809-02.jpg,https://www.forever21.com/images/default_330/00193809-02.jpg,$20.99 ,30.90,33% OFF,Leopard Print Baseball Jersey,https://www.forever21.com/images/sw_22/00193809-02.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000193809,-3
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000209615,https://www.forever21.com/images/4_full_330/00209615-01.jpg,https://www.forever21.com/images/default_330/00209615-01.jpg,$13.99 ,20.90,34% OFF,Contemporary Striped Tee,https://www.forever21.com/images/sw_22/00209615-01.jpg,,,,
https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000236324,https://www.forever21.com/images/5_detail_330/00236324-03.jpg,https://www.forever21.com/images/default_330/00236324-03.jpg,$20.99 ,30.90,33% OFF,Babe Graphic Baseball Jersey,https://www.forever21.com/images/sw_22/00236324-03.jpg,,,,
https://www.forever21.com/ca/shop/catalog/product/f21/sale/2000207307,https://www.forever21.com/images/4_full_330/00207307-01.jpg,https://www.forever21.com/images/default_330/00207307-01.jpg,$29.99 ,30.90,3% OFF,Distressed Buffalo Plaid Shirt,https://www.forever21.com/images/sw_22/00207307-01.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/sale/2000207307,-4
https://www.forever21.com/ca/shop/catalog/product/f21/sale/2000135207,https://www.forever21.com/images/4_full_330/00135207-02.jpg,https://www.forever21.com/images/default_330/00135207-02.jpg,$15.99 ,33.90,53% OFF,Raw-Hem Denim Mini Skirt,https://www.forever21.com/images/sw_22/00135207-02.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/sale/2000135207,-5
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000341079,https://www.forever21.com/images/5_detail_330/00341079-05.jpg,https://www.forever21.com/images/default_330/00341079-05.jpg,$11.99 ,17.90,34% OFF,Ruched Cami Bodysuit,https://www.forever21.com/images/sw_22/00341079-05.jpg,https://www.forever21.com/images/sw_22/00341079-04.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000341079,-3
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000343023,https://www.forever21.com/images/4_full_330/00343023-05.jpg,https://www.forever21.com/images/default_330/00343023-05.jpg,$12.99 ,19.90,35% OFF,Square Neck Cropped Cami,https://www.forever21.com/images/sw_22/00343023-05.jpg,https://www.forever21.com/images/sw_22/00343023-03.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000343023,-10
https://www.forever21.com/ca/shop/catalog/product/f21/activewear/2000325689,https://www.forever21.com/images/4_full_330/00325689-01.jpg,https://www.forever21.com/images/default_330/00325689-01.jpg,$10.99 ,15.90,31% OFF,Active Ribbed Cropped Cami,https://www.forever21.com/images/sw_22/00325689-01.jpg,https://www.forever21.com/images/sw_22/00325689-03.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/activewear/2000325689,-13
https://www.forever21.com/ca/shop/catalog/product/f21/dress_bodycon/2000337776,https://www.forever21.com/ca/shop/_common/images/c_loading.gif,https://www.forever21.com/images/default_330/00337776-05.jpg,$12.99 ,19.90,35% OFF,Off-the-Shoulder Bodycon Dress,https://www.forever21.com/images/sw_22/00337776-05.jpg,https://www.forever21.com/images/sw_22/00337776-04.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/dress_bodycon/2000337776,-3
https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000334827,https://www.forever21.com/images/4_full_330/00334827-04.jpg,https://www.forever21.com/images/default_330/00334827-04.jpg,$10.99 ,15.90,31% OFF,Striped Cami Top,https://www.forever21.com/images/sw_22/00334827-04.jpg,https://www.forever21.com/images/sw_22/00334827-03.jpg,2 Colors,,
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000333306,https://www.forever21.com/images/4_full_330/00333306-06.jpg,https://www.forever21.com/images/default_330/00333306-06.jpg,$12.99 ,19.90,35% OFF,Self-Tie Hem Tee,https://www.forever21.com/images/sw_22/00333306-06.jpg,https://www.forever21.com/images/sw_22/00333306-05.jpg,3 Colors,,
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000336655,https://www.forever21.com/ca/shop/_common/images/c_loading.gif,https://www.forever21.com/images/default_330/00336655-05.jpg,$11.99 ,17.90,34% OFF,Floral Print Cropped Cami,https://www.forever21.com/images/sw_22/00336655-05.jpg,https://www.forever21.com/images/sw_22/00336655-04.jpg,2 Colors,,
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000332145,https://www.forever21.com/ca/shop/_common/images/c_loading.gif,https://www.forever21.com/images/default_330/00332145-05.jpg,$11.99 ,17.90,34% OFF,Ribbed Striped Crop Top,https://www.forever21.com/images/sw_22/00332145-05.jpg,https://www.forever21.com/images/sw_22/00332145-04.jpg,3 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000332145,-7
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000326280,https://www.forever21.com/images/4_full_330/00326280-05.jpg,https://www.forever21.com/images/default_330/00326280-05.jpg,$11.99 ,17.90,34% OFF,Faded Knit Tee,https://www.forever21.com/images/sw_22/00326280-05.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000326280,-1
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000338947,https://www.forever21.com/images/4_full_330/00338947-08.jpg,https://www.forever21.com/images/default_330/00338947-08.jpg,$11.99 ,17.90,34% OFF,Solid V-Cutout Tee,https://www.forever21.com/images/sw_22/00338947-08.jpg,https://www.forever21.com/images/sw_22/00338947-07.jpg,2 Colors,,
https://www.forever21.com/ca/shop/catalog/product/f21/outerwear_utility-jackets/2000339379,https://www.forever21.com/images/4_full_330/00339379-04.jpg,https://www.forever21.com/images/default_330/00339379-04.jpg,$19.99 ,29.90,34% OFF,Zip-Front Hooded Jacket,https://www.forever21.com/images/sw_22/00339379-04.jpg,https://www.forever21.com/images/sw_22/00339379-03.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/outerwear_utility-jackets/2000339379,-10
https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000346170,https://www.forever21.com/images/5_detail_330/00346170-04.jpg,https://www.forever21.com/images/default_330/00346170-04.jpg,$12.99 ,19.90,35% OFF,Crinkled High-Neck Cami,https://www.forever21.com/images/sw_22/00346170-04.jpg,https://www.forever21.com/images/sw_22/00346170-03.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000346170,-4
https://www.forever21.com/ca/shop/catalog/product/f21/shoes_sandalsflipflops/2000335004,https://www.forever21.com/images/5_detail_330/00335004-03.jpg,https://www.forever21.com/images/default_330/00335004-03.jpg,$12.99 ,19.90,35% OFF,Strappy Faux Leather Sandals,https://www.forever21.com/images/sw_22/00335004-03.jpg,https://www.forever21.com/images/sw_22/00335004-02.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/shoes_sandalsflipflops/2000335004,-2
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000328432,https://www.forever21.com/images/4_full_330/00328432-06.jpg,https://www.forever21.com/images/default_330/00328432-06.jpg,$6.99 ,11.00,37% OFF,Raglan Cropped Tee,https://www.forever21.com/images/sw_22/00328432-06.jpg,https://www.forever21.com/images/sw_22/00328432-08.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000328432,-7
https://www.forever21.com/ca/shop/catalog/product/f21/activewear/2000329369,https://www.forever21.com/ca/shop/_common/images/c_loading.gif,https://www.forever21.com/images/default_330/00329369-03.jpg,$23.99 ,34.90,32% OFF,Active Hooded Jacket,https://www.forever21.com/images/sw_22/00329369-03.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/activewear/2000329369,-17
https://www.forever21.com/ca/shop/catalog/product/f21/shoes_sandalsflipflops/2000334060,https://www.forever21.com/images/4_full_330/00334060-02.jpg,https://www.forever21.com/images/default_330/00334060-02.jpg,$12.99 ,19.90,35% OFF,Faux Leather Fisherman Sandals,https://www.forever21.com/images/sw_22/00334060-02.jpg,https://www.forever21.com/images/sw_22/00334060-03.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/shoes_sandalsflipflops/2000334060,-2
https://www.forever21.com/ca/shop/catalog/product/f21/dress_bodycon/2000345189,https://www.forever21.com/images/4_full_330/00345189-02.jpg,https://www.forever21.com/images/default_330/00345189-02.jpg,$19.99 ,29.90,34% OFF,Open-Knit Cami Dress,https://www.forever21.com/images/sw_22/00345189-02.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/dress_bodycon/2000345189,-1
https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000338840,https://www.forever21.com/images/5_detail_330/00338840-04.jpg,https://www.forever21.com/images/default_330/00338840-04.jpg,$8.99 ,12.90,31% OFF,Striped Influencer Graphic Tee,https://www.forever21.com/images/sw_22/00338840-04.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000338840,-2
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000338696,https://www.forever21.com/images/4_full_330/00338696-05.jpg,https://www.forever21.com/images/default_330/00338696-05.jpg,$8.99 ,12.90,31% OFF,Ribbed Curved-Hem Tee,https://www.forever21.com/images/sw_22/00338696-05.jpg,,,,
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000346245,https://www.forever21.com/images/4_full_330/00346245-04.jpg,https://www.forever21.com/images/default_330/00346245-04.jpg,$5.99 ,9.90,40% OFF,Ribbed Striped Halter Top,https://www.forever21.com/images/sw_22/00346245-04.jpg,https://www.forever21.com/images/sw_22/00346245-05.jpg,2 Colors,,
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000347288,https://www.forever21.com/images/4_full_330/00347288-02.jpg,https://www.forever21.com/images/default_330/00347288-02.jpg,$15.99 ,22.90,31% OFF,Off-the-Shoulder Crop Top,https://www.forever21.com/images/sw_22/00347288-02.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000347288,-4
https://www.forever21.com/ca/shop/catalog/product/f21/activewear/2000334527,https://www.forever21.com/images/4_full_330/00334527-02.jpg,https://www.forever21.com/images/default_330/00334527-02.jpg,$10.99 ,15.90,31% OFF,Active Run Graphic Muscle Tee,https://www.forever21.com/images/sw_22/00334527-02.jpg,https://www.forever21.com/images/sw_22/00334527-01.jpg,4 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/activewear/2000334527,-3
https://www.forever21.com/ca/shop/catalog/product/f21/sale/2000276323,https://www.forever21.com/images/7_additional_330/00276323-01.jpg,https://www.forever21.com/images/default_330/00276323-01.jpg,$29.90 ,33.90,12% OFF,Bandana Print One-Piece Swimsuit,https://www.forever21.com/images/sw_22/00276323-01.jpg,,,,
https://www.forever21.com/ca/shop/catalog/product/f21/21_items/2000333423,https://www.forever21.com/images/5_detail_330/00333423-06.jpg,https://www.forever21.com/images/default_330/00333423-06.jpg,$8.99 ,12.90,31% OFF,Bodycon Mini Skirt,https://www.forever21.com/images/sw_22/00333423-06.jpg,https://www.forever21.com/images/sw_22/00333423-07.jpg,3 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/21_items/2000333423,-7
https://www.forever21.com/ca/shop/catalog/product/f21/sale/1000337398,https://www.forever21.com/images/4_full_330/00337398-03.jpg,https://www.forever21.com/images/default_330/00337398-03.jpg,$4.99 ,7.90,37% OFF,Oval Tinted Sunglasses,https://www.forever21.com/images/sw_22/00337398-03.jpg,,,,
https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000340698,https://www.forever21.com/images/6_flat_330/00340698-01.jpg,https://www.forever21.com/images/default_330/00340698-01.jpg,$8.99 ,12.90,31% OFF,Embroidered Baby Girl Tee,https://www.forever21.com/images/sw_22/00340698-01.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000340698,-4
https://www.forever21.com/ca/shop/catalog/product/f21/21_items/2000331363,https://www.forever21.com/images/5_detail_330/00331363-05.jpg,https://www.forever21.com/images/default_330/00331363-05.jpg,$12.99 ,19.90,35% OFF,Linen-Blend Striped Shorts,https://www.forever21.com/images/sw_22/00331363-05.jpg,https://www.forever21.com/images/sw_22/00331363-04.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/21_items/2000331363,-10
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000340415,https://www.forever21.com/images/5_detail_330/00340415-01.jpg,https://www.forever21.com/images/default_330/00340415-01.jpg,$10.99 ,15.90,31% OFF,Progress Graphic Tee,https://www.forever21.com/images/sw_22/00340415-01.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000340415,-6
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000335647,https://www.forever21.com/images/5_detail_330/00335647-05.jpg,https://www.forever21.com/images/default_330/00335647-05.jpg,$8.99 ,12.90,31% OFF,Ribbed Crop Top,https://www.forever21.com/images/sw_22/00335647-05.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000335647,-5
https://www.forever21.com/ca/shop/catalog/product/f21/dress_casual/2000349516,https://www.forever21.com/images/7_additional_330/00349516-03.jpg,https://www.forever21.com/images/default_330/00349516-03.jpg,$22.99 ,32.90,31% OFF,Floral & Leaf Print Maxi Dress,https://www.forever21.com/images/sw_22/00349516-03.jpg,,,,
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000337330,https://www.forever21.com/images/5_detail_330/00337330-03.jpg,https://www.forever21.com/images/default_330/00337330-03.jpg,$10.99 ,15.90,31% OFF,Tie-Front Cutout Bralette,https://www.forever21.com/images/sw_22/00337330-03.jpg,https://www.forever21.com/images/sw_22/00337330-04.jpg,2 Colors,,
https://www.forever21.com/ca/shop/catalog/product/f21/shoes_sandalsflipflops/2000333321,https://www.forever21.com/images/4_full_330/00333321-02.jpg,https://www.forever21.com/images/default_330/00333321-02.jpg,$10.99 ,15.90,31% OFF,Strappy Wraparound Sandals,https://www.forever21.com/images/sw_22/00333321-02.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/shoes_sandalsflipflops/2000333321,-9
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000358958,https://www.forever21.com/images/4_full_330/00358958-01.jpg,https://www.forever21.com/images/default_330/00358958-01.jpg,$14.99 ,22.00,32% OFF,Ruched Crop Top,https://www.forever21.com/images/sw_22/00358958-01.jpg,https://www.forever21.com/images/sw_22/00358958-02.jpg,3 Colors,,
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000320910,https://www.forever21.com/ca/shop/_common/images/c_loading.gif,https://www.forever21.com/images/default_330/00320910-06.jpg,$12.99 ,19.90,35% OFF,Striped Ribbed Thong Bodysuit,https://www.forever21.com/images/sw_22/00320910-06.jpg,https://www.forever21.com/images/sw_22/00320910-04.jpg,2 Colors,,
https://www.forever21.com/ca/shop/catalog/product/f21/shoes_sandalsflipflops/2000335426,https://www.forever21.com/images/5_detail_330/00335426-04.jpg,https://www.forever21.com/images/default_330/00335426-04.jpg,$10.99 ,15.90,31% OFF,Strappy Jelly Sandals,https://www.forever21.com/images/sw_22/00335426-04.jpg,https://www.forever21.com/images/sw_22/00335426-03.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/shoes_sandalsflipflops/2000335426,-6
https://www.forever21.com/ca/shop/catalog/product/f21/shoes_sandalsflipflops/2000335991,https://www.forever21.com/images/4_full_330/00335991-04.jpg,https://www.forever21.com/images/default_330/00335991-04.jpg,$12.99 ,19.90,35% OFF,Open Toe Sandals,https://www.forever21.com/images/sw_22/00335991-04.jpg,,,,
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000339140,https://www.forever21.com/images/4_full_330/00339140-06.jpg,https://www.forever21.com/images/default_330/00339140-06.jpg,$11.99 ,17.90,34% OFF,Striped Self-Tie Cami,https://www.forever21.com/images/sw_22/00339140-06.jpg,,,,
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000334627,https://www.forever21.com/images/4_full_330/00334627-03.jpg,https://www.forever21.com/images/default_330/00334627-03.jpg,$12.99 ,19.90,35% OFF,Boxy Dolman Top,https://www.forever21.com/images/sw_22/00334627-03.jpg,https://www.forever21.com/images/sw_22/00334627-04.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000334627,-8
https://www.forever21.com/ca/shop/catalog/product/f21/sale/2000328152,https://www.forever21.com/images/4_full_330/00328152-04.jpg,https://www.forever21.com/images/default_330/00328152-04.jpg,$10.99 ,15.90,31% OFF,Contrast V-Neck Tee,https://www.forever21.com/images/sw_22/00328152-04.jpg,https://www.forever21.com/images/sw_22/00328152-03.jpg,3 Colors,,
https://www.forever21.com/ca/shop/catalog/product/f21/sale/2000249829,https://www.forever21.com/images/5_detail_330/00249829-01.jpg,https://www.forever21.com/images/default_330/00249829-01.jpg,$13.99 ,20.90,34% OFF,Cheerleader Graphic Ringer Tee,https://www.forever21.com/images/sw_22/00249829-01.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/sale/2000249829,-2
https://www.forever21.com/ca/shop/catalog/product/f21/21_items/2000331007,https://www.forever21.com/images/4_full_330/00331007-05.jpg,https://www.forever21.com/images/default_330/00331007-05.jpg,$12.99 ,19.90,35% OFF,Corduroy Lace-Up Mini Skirt,https://www.forever21.com/images/sw_22/00331007-05.jpg,https://www.forever21.com/images/sw_22/00331007-07.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/21_items/2000331007,-6
https://www.forever21.com/ca/shop/catalog/product/f21/shoes_sandalsflipflops/2000337308,https://www.forever21.com/images/5_detail_330/00337308-03.jpg,https://www.forever21.com/images/default_330/00337308-03.jpg,$16.99 ,24.90,32% OFF,Braided Faux Leather Sandals,https://www.forever21.com/images/sw_22/00337308-03.jpg,https://www.forever21.com/images/sw_22/00337308-02.jpg,2 Colors,,
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000335922,https://www.forever21.com/images/4_full_330/00335922-07.jpg,https://www.forever21.com/images/default_330/00335922-07.jpg,$8.99 ,12.90,31% OFF,Off-the-Shoulder Ribbed Top,https://www.forever21.com/images/sw_22/00335922-07.jpg,,,,
https://www.forever21.com/ca/shop/catalog/product/f21/21_items/2000337800,https://www.forever21.com/images/5_detail_330/00337800-05.jpg,https://www.forever21.com/images/default_330/00337800-05.jpg,$11.99 ,17.90,34% OFF,Ribbed Striped Mini Skirt,https://www.forever21.com/images/sw_22/00337800-05.jpg,https://www.forever21.com/images/sw_22/00337800-04.jpg,3 Colors,,
https://www.forever21.com/ca/shop/catalog/product/f21/dress_bodycon/2000299337,https://www.forever21.com/images/4_full_330/00299337-01.jpg,https://www.forever21.com/images/default_330/00299337-01.jpg,$32.00 ,33.00,4% OFF,Camo Tube Bodycon Mini Dress,https://www.forever21.com/images/sw_22/00299337-01.jpg,https://www.forever21.com/images/sw_22/00299337-02.jpg,3 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/dress_bodycon/2000299337,-2
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000331583,https://www.forever21.com/images/4_full_330/00331583-05.jpg,https://www.forever21.com/images/default_330/00331583-05.jpg,$10.00 ,17.90,45% OFF,Knotted-Hem Ringer Tee,https://www.forever21.com/images/sw_22/00331583-05.jpg,https://www.forever21.com/images/sw_22/00331583-06.jpg,4 Colors,,
https://www.forever21.com/ca/shop/catalog/product/f21/sale/2000064895,https://www.forever21.com/images/4_full_330/00064895-04.jpg,https://www.forever21.com/images/default_330/00064895-04.jpg,$10.99 ,22.90,53% OFF,Velvet Sleeveless Hoodie,https://www.forever21.com/images/sw_22/00064895-04.jpg,https://www.forever21.com/images/sw_22/00064895-03.jpg,2 Colors,https://www.forever21.com/ca/shop/catalog/product/f21/sale/2000064895,-3
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000337690,https://www.forever21.com/images/5_detail_330/00337690-03.jpg,https://www.forever21.com/images/default_330/00337690-03.jpg,$12.99 ,19.90,35% OFF,Colorblock Halter Top,https://www.forever21.com/images/sw_22/00337690-03.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000337690,-6
https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000341629,https://www.forever21.com/images/5_detail_330/00341629-01.jpg,https://www.forever21.com/images/default_330/00341629-01.jpg,$15.99 ,22.90,31% OFF,Selena Cropped Tank Top,https://www.forever21.com/images/sw_22/00341629-01.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/top_blouses/2000341629,-4
https://www.forever21.com/ca/shop/catalog/product/f21/sale_women/2000341766,https://www.forever21.com/images/6_flat_330/00341766-02.jpg,https://www.forever21.com/images/default_330/00341766-02.jpg,$10.99 ,15.90,31% OFF,2002 Graphic Mini Skirt,https://www.forever21.com/images/sw_22/00341766-02.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/sale_women/2000341766,-3
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000332690,https://www.forever21.com/images/5_detail_330/00332690-05.jpg,https://www.forever21.com/images/default_330/00332690-05.jpg,$12.99 ,19.90,35% OFF,Ribbed Lace-Up Bodysuit,https://www.forever21.com/images/sw_22/00332690-05.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000332690,-3
https://www.forever21.com/ca/shop/catalog/product/f21/activewear/2000328953,https://www.forever21.com/images/4_full_330/00328953-03.jpg,https://www.forever21.com/images/default_330/00328953-03.jpg,$22.99 ,32.90,31% OFF,Active Nylon Anorak,https://www.forever21.com/images/sw_22/00328953-03.jpg,https://www.forever21.com/images/sw_22/00328953-01.jpg,3 Colors,,
https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000332759,https://www.forever21.com/images/6_flat_330/00332759-02.jpg,https://www.forever21.com/images/default_330/00332759-02.jpg,$15.99 ,22.90,31% OFF,Embroidered Crop Top,https://www.forever21.com/images/sw_22/00332759-02.jpg,,,https://www.forever21.com/ca/shop/catalog/product/f21/top_t-shirts/2000332759,-2
